id,name,lastUpdateTime,total_confirm,total_suspect,total_heal,total_dead,total_severe,total_input,today_confirm,today_suspect,today_heal,today_dead,today_severe,today_storeConfirm,today_input
95251456,吉尔吉斯斯坦,2020-07-07 08:53:43,7691,0,2843,92,0,0.0,314.0,,0.0,0.0,,,
8197,博茨瓦纳,2020-06-15 00:00:31,60,0,24,1,0,,,0.0,,,0.0,,
95309,尼日尔,2020-07-07 08:53:44,1093,0,968,68,0,0.0,5.0,,0.0,0.0,,,
95305,苏里南,2020-07-07 08:58:45,614,0,315,14,0,0.0,20.0,,23.0,0.0,,,
95306,佛得角,2020-07-07 10:03:47,1463,0,722,17,0,0.0,12.0,,67.0,0.0,,,
95786,萨尔瓦多,2020-07-07 08:53:44,8027,0,4730,223,0,0.0,250.0,,0.0,0.0,,,
95303,圭亚那,2020-06-15 13:51:31,159,0,99,12,0,,,0.0,,,0.0,,
95787,尼加拉瓜,2020-07-07 08:53:43,2519,0,1238,83,0,0.0,0.0,,0.0,0.0,,,
95783,冈比亚,2020-06-15 00:00:31,28,0,24,1,0,,,0.0,,,0.0,,
9523416782,东帝汶,2020-06-12 16:58:23,24,0,24,0,0,,,,,,,,
950777,巴基斯坦,2020-07-07 08:53:43,231818,0,131649,4762,0,0.0,3344.0,,0.0,0.0,,,
9577890,埃及,2020-07-07 08:53:43,76222,0,21238,3422,0,0.0,969.0,,512.0,79.0,,,
9577665,科威特,2020-07-07 08:53:44,50644,0,41001,373,0,0.0,703.0,,0.0,0.0,,,
95903,斯洛伐克,2020-07-07 08:53:43,1765,0,1466,28,0,0.0,1.0,,0.0,0.0,,,
95904,直布罗陀,2020-06-15 13:47:38,176,0,173,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
959333,摩纳哥,2020-06-16 00:00:31,99,0,93,4,0,,,,,,,,
9509765,巴拉圭,2020-07-07 08:53:43,2456,0,1180,20,0,0.0,29.0,,14.0,0.0,,,
856671,荷属安的列斯,2020-06-12 16:58:47,22,0,15,1,0,,,,,,,,
95711,多米尼克,2020-06-15 00:00:31,18,0,16,0,0,,,,,,,,
95703,乌兹别克斯坦,2020-07-07 08:53:43,10362,0,6628,37,0,0.0,78.0,,44.0,1.0,,,
95293,黑山,2020-07-07 08:53:44,841,0,315,14,0,0.0,60.0,,0.0,0.0,,,
95294,危地马拉,2020-07-07 08:53:43,23972,0,3429,981,0,0.0,724.0,,47.0,34.0,,,
95290,加蓬,2020-07-07 08:53:43,5743,0,2574,46,0,0.0,123.0,,19.0,2.0,,,
95291,苏丹,2020-07-07 08:53:43,9894,0,4899,616,0,0.0,127.0,,226.0,8.0,,,
87435,利比亚,2020-07-07 08:58:45,1117,0,269,34,0,0.0,71.0,,8.0,2.0,,,
95287,圣马丁岛,2020-06-15 14:48:56,77,0,61,15,0,,,,,,,,
95046,土耳其,2020-07-07 08:53:43,206844,0,182995,5241,0,0.0,1086.0,,2315.0,16.0,,,
95047,巴布亚新几内亚,2020-06-12 17:02:54,8,0,8,0,0,,,,,,,,
95000011,多米尼加,2020-07-07 08:53:43,38128,0,19489,804,0,0.0,703.0,,546.0,10.0,,,
95076,约旦,2020-07-07 08:53:43,1167,0,957,10,0,0.0,3.0,,15.0,0.0,,,
9532556,亚美尼亚,2020-07-07 08:53:43,28936,0,16302,491,0,0.0,330.0,,0.0,0.0,,,
811192,圣基茨和尼维斯,2020-06-12 17:01:29,15,0,15,0,0,,,,,,,,
89665,瓜德罗普,2020-06-15 13:49:44,171,0,157,14,0,,,0.0,,,0.0,,
94367,安提瓜和巴布达,2020-07-07 08:53:43,70,0,23,3,0,0.0,2.0,,0.0,0.0,,,
95215,玻利维亚,2020-07-07 08:53:44,39297,0,11667,1434,0,0.0,1226.0,,0.0,0.0,,,
95693,哥伦比亚,2020-07-07 08:53:43,117412,0,47961,4305,0,0.0,3727.0,,1318.0,127.0,,,
879903,圣文森特和格林纳丁斯,2020-06-12 16:57:52,27,0,25,0,0,,,,,,,,
84326,圣卢西亚,2020-06-12 16:59:25,19,0,18,0,0,,,,,,,,
10,法国,2020-07-07 08:53:43,205597,0,77444,29923,0,0.0,1375.0,,259.0,27.0,,,
11,阿联酋,2020-07-07 08:53:44,52068,0,40721,324,0,0.0,528.0,,424.0,1.0,,,
12,加拿大,2020-07-07 08:53:44,107748,0,71070,8748,0,0.0,340.0,,286.0,9.0,,,
13,印度,2020-07-07 08:53:43,697413,0,424433,19693,0,0.0,24248.0,,0.0,0.0,,,
14,英国,2020-07-07 08:53:43,287290,0,1375,44321,0,0.0,359.0,,0.0,0.0,,,
15,意大利,2020-07-07 08:53:43,241819,0,192241,34869,0,0.0,208.0,,0.0,0.0,,,
16,俄罗斯,2020-07-07 08:53:43,686777,0,453495,10271,0,0.0,6494.0,,0.0,0.0,,,
17,菲律宾,2020-07-07 08:53:43,46333,0,12185,1303,0,0.0,2079.0,,0.0,0.0,,,
18,芬兰,2020-07-07 08:53:43,7257,0,6700,329,0,0.0,4.0,,0.0,0.0,,,
19,尼泊尔,2020-07-07 08:53:43,15964,0,6811,35,0,0.0,180.0,,0.0,0.0,,,
95682,葡萄牙,2020-07-07 08:53:43,44129,0,29166,1620,0,0.0,232.0,,0.0,0.0,,,
95200,也门,2020-07-07 08:53:44,1284,0,575,345,0,0.0,19.0,,23.0,7.0,,,
954356,塞舌尔,2020-06-15 00:00:31,11,0,11,0,0,,,,,,,,
20,西班牙,2020-07-07 08:53:44,298869,0,196958,28388,0,0.0,414.0,,0.0,3.0,,,
21,斯里兰卡,2020-07-07 08:53:43,2077,0,1917,11,0,0.0,3.0,,0.0,0.0,,,
9509,阿尔及利亚,2020-07-07 08:53:43,16404,0,11884,959,0,0.0,463.0,,392.0,7.0,,,
22,柬埔寨,2020-07-07 08:53:43,141,0,131,0,0,0.0,0.0,,0.0,0.0,,,
95239,海地,2020-07-07 08:53:43,6333,0,1549,113,0,0.0,39.0,,0.0,0.0,,,
23,瑞典,2020-07-07 08:53:43,73061,0,4971,5433,0,0.0,1642.0,,0.0,0.0,,,
95237,特里尼达和多巴哥,2020-06-15 14:48:06,123,0,109,8,0,,,0.0,,,0.0,,
95jibuti,吉布提,2020-07-07 08:53:43,4822,0,4610,55,0,0.0,30.0,,17.0,0.0,,,
9512314,圣多美与普林西比,2020-06-15 11:44:39,659,0,176,12,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
953487,布基纳法索,2020-07-07 08:53:44,1000,0,858,53,0,0.0,13.0,,0.0,0.0,,,
954332,比利时,2020-07-07 08:53:43,62016,0,17091,9771,0,0.0,178.0,,0.0,0.0,,,
9534324,伊拉克,2020-07-07 08:53:43,62275,0,34741,2567,0,0.0,1796.0,,0.0,0.0,,,
95000111,马拉维,2020-07-07 08:53:43,1742,0,317,19,0,0.0,129.0,,0.0,0.0,,,
95010,冰岛,2020-07-07 08:53:43,1866,0,1840,10,0,0.0,6.0,,0.0,0.0,,,
95jnybs,几内亚比绍,2020-07-07 08:53:44,1790,0,760,25,0,0.0,25.0,,84.0,0.0,,,
953333666,拉脱维亚,2020-07-07 08:53:44,1127,0,1000,30,0,0.0,3.0,,0.0,0.0,,,
9512111,不丹,2020-06-15 14:49:07,66,0,21,0,0,,,0.0,,,0.0,,
957873,挪威,2020-07-07 10:03:47,8936,0,8138,251,0,0.0,6.0,,0.0,0.0,,,
9524546,印度尼西亚,2020-07-07 08:53:44,64958,0,29919,3241,0,0.0,1209.0,,0.0,0.0,,,
956789,安哥拉,2020-07-07 08:53:43,346,0,108,19,0,0.0,0.0,,0.0,0.0,,,
87656,开曼群岛,2020-06-15 13:46:13,187,0,115,1,0,,,,,,,,
95844,埃塞俄比亚,2020-07-07 08:53:43,5846,0,2430,103,0,0.0,0.0,,0.0,0.0,,,
95879,梵蒂冈,2020-06-15 00:00:31,12,0,12,0,0,,,,,,,,
95632,科特迪瓦,2020-07-07 08:53:43,10966,0,5384,75,0,0.0,194.0,,317.0,1.0,,,
95634,卡塔尔,2020-07-07 08:53:43,100345,0,93898,133,0,0.0,546.0,,0.0,0.0,,,
95411,莱索托,2020-06-12 17:03:24,4,0,2,0,0,,,,,,,,
950611,格鲁吉亚,2020-07-07 08:53:44,953,0,830,15,0,0.0,2.0,,0.0,0.0,,,
96745,墨西哥,2020-07-07 08:58:45,261750,0,204826,31119,0,0.0,4902.0,,4912.0,480.0,,,
95891,圣马力诺,2020-07-07 08:53:44,698,0,656,42,0,0.0,0.0,,0.0,0.0,,,
95400,哈萨克斯坦,2020-07-07 08:58:45,48574,0,15860,264,0,0.0,1403.0,,0.0,76.0,,,
95643,安道尔,2020-07-07 08:53:43,855,0,800,52,0,0.0,0.0,,0.0,0.0,,,
95886,牙买加,2020-07-07 10:03:47,737,0,591,10,0,0.0,5.0,,7.0,0.0,,,
82333,格恩西岛,2020-06-15 13:26:03,252,0,238,13,0,,,,,,,,
95677,罗马尼亚,2020-07-07 08:53:43,29223,0,20213,1768,0,0.0,250.0,,0.0,0.0,,,
95436,阿曼,2020-07-07 08:53:43,47735,0,29146,218,0,0.0,1557.0,,0.0,0.0,,,
95672,列支敦士登,2020-06-15 14:25:46,82,0,55,1,0,,,,,,,,
9547021,马达加斯加,2020-07-07 08:53:44,3250,0,1135,33,0,0.0,309.0,,0.0,0.0,,,
